,merge.labels.M3,Lung,Liver,Right Ovary,Left Ovary,Adrenal
535,bar|868 3620,279,0,0,0,0
536,bar|869 13815,4,0,0,0,0
537,bar|871 11618,1425,0,0,0,0
538,bar|872 4514,5,0,0,0,0
539,bar|872 5841,316,0,0,0,0
540,bar|873 9766,1063,0,2,0,1
541,bar|873 10312,143,0,0,0,0
542,bar|873 14021,50,0,0,0,0
543,bar|874 4112,41,35332,0,5,50
544,bar|874 14895,1903,0,0,0,0
545,bar|875 9805,116,0,3037,51,707
546,bar|878 8592,1,0,0,0,0
547,bar|879 6715,6,0,3,0,1
548,bar|879 9319,37,0,0,0,0
549,bar|880 8508,68,0,0,0,0
550,bar|881 2420,15,0,1388,34,1
551,bar|881 9010,196,0,0,0,0
552,bar|885 1833,1,0,0,0,0
553,bar|888 5812,5,0,20,0,0
554,bar|895 1743,2,0,0,0,0
555,bar|895 3396,45427,10,15,0,0
556,bar|895 8706,1,0,0,0,0
557,bar|897 8451,5656,0,0,0,0
558,bar|899 93,1,0,0,0,0
559,bar|899 219,1,0,0,0,0
560,bar|899 658,1,0,0,0,0
561,bar|899 1112,1,0,0,0,0
562,bar|899 1268,1,0,0,0,0
563,bar|899 1274,342027,0,3,3,2
564,bar|899 1278,1,0,0,0,0
565,bar|899 1338,1,0,0,0,0
566,bar|899 1350,1,0,0,0,0
567,bar|899 1530,1,0,0,0,0
568,bar|899 1541,1,0,0,0,0
569,bar|899 1743,1,0,0,0,0
570,bar|899 1774,1,0,0,0,0
571,bar|899 2456,1,0,0,0,0
572,bar|899 2714,2,0,0,0,0
573,bar|899 2923,2,0,0,0,0
574,bar|899 3409,1,0,0,0,0
575,bar|899 5224,1,0,0,0,0
576,bar|899 5330,1,0,0,0,0
577,bar|899 5873,1,0,0,0,0
578,bar|899 6930,1,0,0,0,0
579,bar|899 7957,1,0,0,0,0
580,bar|899 8344,1,0,0,0,0
581,bar|899 8792,1,0,0,0,0
582,bar|899 8829,1,0,0,0,0
583,bar|899 9348,1,0,0,0,0
584,bar|899 9963,1,0,0,0,0
585,bar|899 10174,2,0,0,0,0
586,bar|899 10752,1,0,0,0,0
587,bar|899 11106,1,0,0,0,0
588,bar|899 12298,1,0,0,0,0
589,bar|899 13015,1,0,0,0,0
590,bar|899 13546,1,0,0,0,0
591,bar|899 14159,1,0,0,0,0
592,bar|899 16291,1,0,0,0,0
593,bar|904 15783,27,0,0,0,0
594,bar|906 3629,7517,0,0,0,0
595,bar|907 6190,16,0,0,0,0
596,bar|922 15318,282,0,0,0,0
597,bar|923 14900,1,0,0,0,0
598,bar|929 8254,1,0,0,0,0
599,bar|929 8720,801,0,0,0,0
600,bar|931 14122,2677,0,0,0,0
601,bar|933 4578,5,0,0,0,0
602,bar|933 12615,1051,0,0,0,0
603,bar|934 13399,3,994,0,0,3
604,bar|944 5330,1,0,0,0,0
605,bar|949 371,749,0,0,0,0
606,bar|949 10197,29,0,20,1,0
607,bar|950 7470,1,0,3,0,0
608,bar|950 9085,60619,0,1,0,1
609,bar|950 13891,273,0,0,0,0
610,bar|950 15845,1,0,0,0,0
611,bar|951 3409,1,0,0,0,0
612,bar|951 10293,8964,0,0,0,0
613,bar|960 42,8589,0,0,1,0
614,bar|960 12459,257,0,0,0,0
615,bar|960 14107,1,0,0,0,0
616,bar|963 9249,34,12,677,9,90
617,bar|964 3605,536,0,0,0,0
618,bar|967 70,1,0,0,0,0
619,bar|967 4275,173,0,0,0,0
620,bar|973 5313,1,0,0,0,0
621,bar|973 13039,1,0,0,0,0
622,bar|976 324,1,0,0,0,0
623,bar|976 7662,1,0,0,0,0
624,bar|976 10040,67,0,0,0,0
625,bar|977 11986,11318,0,0,0,0
626,bar|977 12839,1,0,0,0,1
627,bar|978 1746,1224,0,37,2,0
628,bar|982 8996,38,0,0,0,0
629,bar|987 9481,292,0,0,0,0
630,bar|989 1072,1,0,0,1,0
631,bar|997 8821,1,0,0,0,0
632,bar|1003 3394,105,0,0,0,0
633,bar|1003 4231,1,0,0,0,0
634,bar|1003 4565,1,0,0,0,0
635,bar|1003 9963,1,0,0,0,0
636,bar|1003 11398,70633,0,2,1284,459
637,bar|1003 14722,1,0,0,0,0
638,bar|1005 11635,11,0,670,6,0
639,bar|1007 1328,41,0,0,3,0
640,bar|1013 12450,28,0,0,0,0
641,bar|1014 678,70,0,0,0,0
642,bar|1021 10130,34,0,0,0,0
643,bar|1022 8469,5030,0,1,0,0
644,bar|1022 10404,1967,0,0,0,0
645,bar|1025 3451,118,0,0,0,0
646,bar|1029 10115,4,5469,20,11,304
647,bar|1031 5752,1,0,191,1,1
648,bar|1031 8792,1,0,0,0,0
649,bar|1031 8797,6432,1,0,0,0
650,bar|1031 14159,2,0,0,0,0
651,bar|1032 5224,1,0,0,0,0
652,bar|1032 13192,1,0,0,0,0
653,bar|1032 13371,1,0,0,0,0
654,bar|1032 14216,34288,1,1,0,0
655,bar|1032 14222,1,0,0,0,0
656,bar|1034 1717,1,0,0,0,0
657,bar|1040 7450,1184,0,0,0,0
